prevent,detect,response,health,norms,risk
10,31.8,34.8,11.6,41.4,38.7
39.5,34.6,26.8,28.2,35.3,55.9
43.2,38.3,51.7,45,63,57.7
38.5,63.6,43.8,38.2,49.8,50.3
50.9,61.7,47.5,48.9,58.9,67.9
52.8,50.5,67.7,55,63,77.3
33.1,32.7,48,38.8,32.7,68
48.9,42.8,35.3,36.7,52.4,65.7
42.9,34.1,50.1,37.6,52.6,51.4
33.8,36,31.9,24.1,38,43.6
20.2,14.1,28.9,9.2,30.7,66.1
22.3,33.9,20.8,16.2,25,80.5
8.2,2.7,18.7,7.2,33.5,44.6
34.3,74.4,32.6,44.8,50.6,59.7
25.4,35.1,45.4,18.5,57,48.2
48.8,46.2,55.1,56.6,49.7,59.2
9.8,33.4,20.7,19.9,47.1,71.1
25,45.8,44.8,25.3,52.8,32.8
56.2,64.5,64.6,41.4,47.3,80.9
53.5,46,34.1,37.9,52.8,71.5
67,73.7,63.3,54.9,72.1,73.7
8.4,8.7,18.7,12.4,40.1,44
15.8,21.5,17.4,0.3,28.5,15.9
44.8,81.5,57.7,33,46.3,61.8
57.3,92.1,71.5,58.7,64.3,74.1
22.6,15.9,24.3,13.6,32.6,22.1
52.9,83,61.9,59.6,61.1,77.1
24.2,43,26.4,16.9,41.7,56.7
8.7,15,26.2,7.1,46.4,64.8
22.8,30.3,42.4,6.3,54.7,62.1
20,20.6,29.2,19,58,61.7
31.8,7,37.3,14.3,37.6,33
23.3,36.7,47.3,16.5,44.8,52.7
81.1,86,62.8,49.3,71.3,84.5
52.7,59.1,79.3,62.5,65.6,86.2
18.4,2.7,23,24.4,26.1,29.6
26.7,24.1,42.9,20.5,42.6,38.2
33.5,42,36.8,8.2,55.4,44.7
75.7,81,78.6,70.5,70.9,56.4
18.2,25.7,30.2,9.7,33.9,41.5
23.7,46.8,30.4,10,46.3,37.6
19.8,15,25.1,7.5,33.9,59
28.1,14.7,43.2,23.7,55.1,64.4
31.7,26.3,39.1,24,31,55.7
56.9,45.6,49,45.7,64.3,56.5
31,38.6,26,14.4,39.3,45.1
13.1,8.7,19.6,12,28.6,58.7
42.7,50.3,56.5,11.6,65.4,35.5
38.1,36.5,34.8,23,55.1,43.3
49.3,31.6,49.7,22.9,63.4,72.4
68.3,87.3,91.9,59.8,81.2,74.7
83.1,98.2,79.7,73.8,85.3,78.2
44,33.5,41.3,24.1,39.3,74.8
42.6,19.4,27.8,16,60.5,47.8
24.5,15,24.8,6.6,38,57.4
23.5,8.7,19.7,12.9,42.2,38.2
49.5,57.4,43,28.3,64.6,53.4
15.1,9,19,7.6,40.3,23.5
24.5,21.9,28.6,20.3,38,44.2
31.4,65.6,30.1,14.7,45.9,39.2
